Locality_ID,Geosite_Name,Expert_Class
loc_00421,Folded structure 2,Moderate
loc_00422,Folded structure 3,Easy
loc_00425,The alluvial plain of Tadakoust,Easy
loc_00426,Deflation phenomenon in the Drâa plain,Difficult
loc_00427,Engravings in Tamzrart region,Easy
loc_00428,engravings in Tadakous,Moderate
loc_00429,Laila Island,Easy
loc_00430,Akhfénir Cliff,Easy
loc_00431,Sand dunes,Easy
loc_00432,Akhfennir Sinkhole,Easy
loc_00433,Water spring,Moderate
loc_00434,Panoramic view to the folded mountains,Difficult
loc_00435,Petrified wood intruded by iron deposits,Easy
loc_00436,Stromatolites,Moderate
loc_00437,Caristified cave stalactite,Easy
loc_00438,Karastified limestone rocks eroded,Easy
loc_00439,Hill shades of limestone rocks,Easy
loc_00448,Zaouit Tanaghmelt,Moderate
loc_00452,Travertines of Tighalghalt,Moderate
loc_00459,Waterfall,Easy
loc_00460,Panoramic view from the Kettara intrusion,Moderate
loc_00461,Mineralized quartz-chlorite vein cutting the schists at a low angle in the Kettara gossan,Easy
loc_00462,"Mineralized quartz-chlorite vein cutting the schists at a 
low angle in the Kettara gossan",Difficult
loc_00463,"Specimen from the drill core showing a mineralized quartz-chlorite 
vein crosscut by a carbonate (CC) vein",Easy
loc_00464,Intrusion affected by subvertical schistosity,Moderate
loc_00465,Panorama of a geological succession with several uncon formities (Tahannaout; Douar Sour),Easy
loc_00466,Normal faults with tilted blocks (Zawyat bou houta),Easy
loc_00467,"Syn-sedimentary tectonic geosite: Hemigraben perched on visean basement, graben, tilted block and normal faults (Tibizzit)",Easy
loc_00468,"Syn-sedimentary tectonic geosite of a 
normal fault (Aghzane",Moderate
loc_00469,Moulay Brahim landscape,Easy
loc_00470,Asni anticlinorium,Moderate
loc_00471,Imlil landscape,Easy
loc_00472,Aerial courses and B tree climbing in Terre d’Amanar tourist site (Tahannaout),Easy
loc_00473,Jbel Irhoud,Easy
loc_00474,Consolidated and unconsolidated dunes,Easy
loc_00475,Oualidia caves,Easy
loc_00476,Oualidia Lagoon,Easy
loc_00477,Talaat Lakraa mixed flysch,Moderate
loc_00478,Beni Ider of Sidi Kankouch,Easy
loc_00479,The Upper Cretaceous of the Beni Ider nappe and the Italian Castle,Easy
loc_00480,Phoenician Necropolises and the Numidian,Easy
loc_00481,The Numidian of Cap Spartel,Easy
loc_00482,Achakar calcarenites,Easy
loc_00483,Grotte Hercule,Easy
loc_00492,Tazerkount ruiniformes landscapes,Moderate
loc_00496,Ain Orbiaa,Easy
loc_00499,Panoramic view of rurate,Easy
loc_00506,Sebkha Talaklekt,Difficult
loc_00507,Sebkhet Dkhayla,Moderate
loc_00508,Sebkhat Fares,Difficult
loc_00509,Sebkha of Imili,Moderate
loc_00510,Sebkhat Ad-Dam,Easy
loc_00511,Sebkha of Skaymate,Difficult
loc_00512,Sebkhat Aridal,Moderate
loc_00513,Sebkha Oum Dba,Moderate
loc_00514,Sebkha Tizfourine,Moderate
loc_00515,Sebkha Tah,Moderate
loc_00516,Sebkha Tazgha,Easy
loc_00517,Sebkha Lahmira,Difficult
loc_00518,Sebkha Zima,Moderate
loc_00519,Sebkha Lamhaguen,Difficult
loc_00520,Akchour Dam,Easy
loc_00521,Sidi Abdel Hamid Ecomuseum,Moderate
loc_00522,Sidi Abdel Hamid Lookout,Moderate
loc_00523,Bab Taza Phtanites,Easy
loc_00524,Ametrasse fallen blocks,Moderate
loc_00525,Jbel Chrafate Panorama,Easy
loc_00526,Koudiat Sbaâ Panorama,Easy
loc_00527,Raghdat Southern entry of TNP,Easy
loc_00528,Jbel Bou Slimane Panorama,Moderate
loc_00529,Jbel Kelti Panorama,Easy
loc_00530,Oued El Kelaa Gorge and waterfall,Difficult
loc_00531,Jbel Tissouka Panorama,Difficult
loc_00532,Ammonites from Alma,Moderate
loc_00533,The anticlinal fold of the Paradis Valley,Moderate
loc_00534,The gorges of the Paradise Valley,Moderate
loc_00535,Imouzzer Ida-Outanane faults and fold,Moderate
loc_00536,Imouzzer Ida-Outanane waterfalls,Easy
loc_00537,The Moulay Abd Allah dam,Easy
loc_00538,Imi Ouggoug cave,Difficult
loc_00539,Assif n’El Had cave,Easy
loc_00540,The Birfichou chasm,Moderate
loc_00541,The Win Timdwin cave,Difficult
loc_00542,Beni Moussa spring,Easy
loc_00547,Onsar spring,Moderate
loc_00548,Azeroual spring,Easy
loc_00549,Al Mashar cave,Difficult
loc_00550,Alouiya spring,Moderate
loc_00551,Al Keddane spring,Moderate
loc_00554,Torreta spring,Moderate
loc_00557,Uvala of Dar Akhanous,Difficult
loc_00558,Al Hamma cave,Moderate
loc_00559,Moukdassen spring,Moderate
loc_00560,Limestone pavement of Jebala,Moderate
loc_00563,Complex of cavities of Mountain Kelti,Moderate
loc_00564,Achakrade spring,Moderate
loc_00565,Kelti spring,Moderate
loc_00566,Bouattou spring,Moderate
loc_00567,Avens of Kayat,Moderate
loc_00569,Block of Limestone Rocks,Moderate
loc_00572,Oued Adelmane cave,Difficult
loc_00573,Al Kalaa spring,Difficult
loc_00574,Ruiniform Chaos of Bab Al Arz,Moderate
loc_00575,Lkhoujja spring,Moderate
loc_00576,Tazroute springs,Moderate
loc_00577,Monte spring,Difficult
loc_00578,Souyah spring,Difficult
loc_00579,Talassemtane spring,Difficult
loc_00580,Ruiniform landscape of Afaska,Moderate
loc_00581,Imezzar spring,Moderate
loc_00582,Kaf Lahmam cave,Moderate
loc_00583,Tizi cave,Difficult
loc_00584,Azilane spring,Difficult
loc_00585,Assifane cavities,Moderate
loc_00586,Limestone pavement of Bouhalla,Moderate
loc_00587,Polje Al Malaab,Moderate
loc_00588,Limestone pavement of Tissemlal,Easy
loc_00589,Karst complex of Mountain Lakraa,Easy
loc_00590,Doline of Tissouka,Difficult
loc_00911,Tamguert N’rate,Moderate
loc_00986,Cascade d’Imouzar Marmoucha,Moderate
loc_01078,Ifri n′Oudey (gouffre du juif),Easy
loc_01190,Orthogenesis & dyke and pluton intrusions,Easy
loc_01191,Migmatites & deep petrogenesis,Easy
