Locality_ID,Geosite_Name,Region,Reference,Title
loc_00764,Upper Ordovician sequences and faults,Drâa-Tafilalet,"El Ouali et al., 2026a","Geoeducation,geotourism,andgeoconservationoftheTimaderouineEdiacaran-Ordoviciangeosites,westernTinghir(EasternAnti-Atlas,Morocco)"
loc_00765,Visean–Infra-Cenomanian unconformity,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00766,Quaternary fluvial terraces,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00767,Infra-Cenomanian gypsum & Quaternary travertine,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00768,Cenomanian–Turonian lithified and flint-rich limestone,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00769,Senonian–Neogene basalt unconformity,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00770,Neogene volcano-sedimentary deposits,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00771,Paleocene fossiliferous limestone,Drâa-Tafilalet,"El Ouali et al., 2026b","From the Visean to the Quaternary: Geoheritage Asssessment of Geosites for Science, Education, and Tourism in the Imlil-Tizi n’Tazoult District, West of Tinghir (Morocco)"
loc_00772,Geosite 1,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00773,Geosite 2,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00774,Geosite 3,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00775,Geosite 4,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00776,Geosite 5,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00777,Geosite 6,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00778,Geosite 8,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
loc_00779,Geosite 9,Drâa-Tafilalet,"Milu et al., 2019",GEOHERITAGE OF THE ANTI-ATLAS (MOROCCO): A NATURAL TREASURE IN SUPPORT OF SUSTAINABLE DEVELOPMENT
